name,city,area,class,lat,lng,tel,tel2,address,update_time,memo
財團法人嘉義市天主教本篤會中國傳教會,嘉義市,,天主教,23.4773619,120.4699053,05-2764830,,嘉義市小雅路545號,2017/4/12 14:26,
財團法人天主教嘉義教區中華聖母會,嘉義市,,天主教,23.4815883,120.4858445,05-2769634,,嘉義市文心路166號,2017/4/12 14:26,
財團法人天主教會嘉義教區,嘉義市,,天主教,23.4757377,120.4731453,05-2766371 ,,嘉義市東區長竹里雅竹路81號,2017/4/12 14:26,
財團法人嘉義市天主教聖愛會,嘉義市,,天主教,23.478124,120.4703357,05-2766371,,嘉義市大雅路二段502號,2017/4/12 14:26,
天主教聖若望堂（民權路天主堂）,嘉義市,,天主教,23.4840471,120.4611198,05-2783045,,嘉義市民權路62號,2017/4/12 14:26,
天主教聖奧得堂,嘉義市,,天主教,23.4935809,120.4527456,05-2768743,,嘉義市忠孝路515號,2017/4/12 14:26,
民生北路天主堂,嘉義市,,天主教,23.4762044,120.4466959,05-2223239,,嘉義市民生北路92號,2017/4/12 14:26,
財團法人天主教聖言會,嘉義市,,天主教,23.4621113,120.4563997,05-2224445,,嘉義市吳鳳南路268號,2017/4/12 14:26,
天主教博愛路天主堂,嘉義市,,天主教,23.4863613,120.4436475,05-2322717,,嘉義市博愛路1段315號,2017/4/12 14:26,
吳鳳路天主堂,嘉義市,,天主教,23.4621113,120.4563997,05-2279482,,嘉義市吳鳳南路268號,2017/4/12 14:26,
財團法人台灣省基督長老教會嘉義中會,嘉義市,,基督教,23.4940502,120.453675,05-2766995,,嘉義市嘉北街86號,2017/4/12 14:26,
台灣信義會榮光堂,嘉義市,,基督教,23.4960029,120.4545369,05-2773015,,嘉義市新生路810號,2017/4/12 14:26,
台灣基督長老教會嘉義東門教會,嘉義市,,基督教,23.4807785,120.455377,05-2227467,,嘉義市共和路236號,2017/4/12 14:26,
台灣基督長老教會嘉義西門教會,嘉義市,,基督教,23.473459,120.447444,05-2222994,,嘉義市垂楊路309號,2017/4/12 14:26,
台灣基督長老教會嘉義南門教會,嘉義市,,基督教,23.4651616,120.4585773,05-2280291,,嘉義市信興街73巷3弄3號,2017/4/12 14:26,
台灣基督長老教會北榮教會,嘉義市,,基督教,23.4811021,120.4450263,05-2244005,,嘉義市西榮街266號,2017/4/12 14:26,
台灣基督長老教會興村教會,嘉義市,,基督教,23.4559881,120.4632685,05-2392307,,嘉義市軍輝路49號,2017/4/12 14:26,
台灣基督長老教會加恩教會,嘉義市,,基督教,23.5008514,120.4546577,05-2776341,,嘉義市保健街38號,2017/4/12 14:26,
台灣基督長老教會嘉山教會,嘉義市,,基督教,23.4667856,120.444519,05-2744275,,嘉義市保健街30號之3,2017/4/12 14:26,
台灣基督長老教會友愛教會,嘉義市,,基督教,23.4773689,120.425598,05-2362821,,嘉義市永春一街101號,2017/4/12 14:26,
