name,city,area,class,lat_old,lng_old,lat,lng,tel,address,update_time,memo
嘉義市私立仁友老人長期照顧中心（養護型）,嘉義市,東區,,23.4826499,120.4492234,23.4827394,120.4489816,05-2786604,嘉義市東區北門里8鄰文化路254號之1,42381.66667,
嘉義市私立展順老人長期照護中心,嘉義市,東區,,23.49596004,120.4593441,23.4975369,120.4579607,05-2783023,嘉義市東區頂庄里5鄰義教街585巷33號,42381.66667,
嘉義市私立新仁友老人長期照護中心（養護型）,嘉義市,東區,,23.4825634,120.4494112,23.4842446,120.4645499,05-2786603,嘉義市東區北門里7鄰民權路332巷38號,42381.66667,
嘉義市私立金蓮園老人長期照顧中心（養護型）,嘉義市,東區,,23.49515923,120.4822909,23.4915594,120.469728,05-2741616,嘉義市東區後庄里2鄰林森東路875號,42381.66667,
嘉義市私立梅香園老人長期照顧中心（長照型）,嘉義市,東區,,23.495279,120.4823863,23.4915594,120.469728,05-2741717,嘉義市東區後庄里2鄰林森東路877號,42381.66667,
財團法人嘉義市私立保康社會福利慈善事業基金會附設嘉義市私立保康老人長期照顧中心（長照型）,嘉義市,東區,,23.50687079,120.4501139,23.5056477,120.45049,05-2715565,嘉義市東區後湖里17鄰保順路121號,42381.66667,
嘉義市私立博仁老人養護中心,嘉義市,西區,,23.49193,120.42792,23.4917998,120.4284371,05-2372088,嘉義市西區保安里12鄰北社尾路49號,42381.66667,
嘉義市私立國泰長期照護中心,嘉義市,西區,,23.47288001,120.41333,23.4726942,120.4133997,05-2861126,嘉義市西區港坪里2鄰育人路329號,42381.66667,
嘉義市私立誠泰老人長期照顧中心〈養護型〉,嘉義市,西區,,23.46271001,120.41447,23.4626838,120.4146474,05-2366317,嘉義市西區劉厝里7鄰大賢路148號,42381.66667,
財團法人嘉義市私立瑞泰老人長期照護中心,嘉義市,西區,,23.46928196,120.4144848,23.4685366,120.4144869,05-2352600,嘉義市西區劉厝里30鄰玉山路669號,42381.66667,
嘉義市私立宏仁老人養護中心,嘉義市,東區,,23.51125,120.44327,23.5083829,120.4450306,05-2318756,嘉義市東區荖藤里3鄰荖藤宅28之1號,42381.66667,
財團法人臺灣省私立嘉義博愛仁愛之家,嘉義市,東區,,23.48875,120.46311,23.4886066,120.4630368,05-2762306,嘉義市東區太平里11鄰林森東路235號,42381.66667,
財團法人臺灣省私立嘉義仁愛之家,嘉義市,東區,,23.46714,120.46402,23.4669845,120.4639545,05-2250065,嘉義市東區芳草里1鄰草地尾8號,42381.66667,
財團法人臺灣省私立嘉義濟美仁愛之家,嘉義市,東區,,23.49302,120.48331,23.4931184,120.4830536,05-2766130,嘉義市東區圳頭里3鄰盧義路361號,42381.66667,
嘉義市私立利生養護中心,嘉義市,東區,,23.47406001,120.46322,23.4741054,120.4632236,05-2787057,嘉義市東區短竹里14鄰彌陀路238巷7弄7號,42381.66667,
嘉義市私立東洋老人養護中心,嘉義市,東區,,23.48168,120.48667,23.4816056,120.4859342,05-2761297,嘉義市東區文雅里15鄰文心街119號,42381.66667,
嘉義市私立慈保老人養護中心,嘉義市,東區,,23.47860001,120.47713,23.478244,120.473862,05-2769992,嘉義市東區長竹里11鄰大雅路二段234巷8號,42381.66667,
