addr,lat,lng
嘉義市湖子內路92號前,23.4533593,120.4413396
嘉義市民生南路850巷口〈上帝廟〉,23.454039,120.440747
嘉義市民生南路403巷內,23.4541531,120.4390073
嘉義市新民路、民生南路,23.4548396,120.4349033
嘉義市民生南路、湖子內路口,23.455207,120.4432316
嘉義市軍輝路、吳鳳南路,23.4552456,120.4592713
嘉義市軍輝路、興仁街,23.4559599,120.4636601
嘉義市湖子內906號前路口,23.4563988,120.4407066
嘉義市南京路新民路口,23.4578875,120.438065
嘉義市新民路、南京路口,23.4578875,120.438065
嘉義市軍輝橋,23.4582937,120.4581679
嘉義市友愛路123巷口,23.4591094,120.2451444
嘉義市新民路475巷,23.4594669,120.4389553
嘉義市新民路416巷口,23.4605591,120.245048
嘉義市新民路555巷 ,23.4606159,120.4396434
嘉義市忠義橋,23.4606603,120.4713463
嘉義市育人路381、438巷口,23.4610013,120.4408927
嘉義市民生南路466巷,23.4610837,120.442251
嘉義市大同路438巷口,23.4613362,120.2417923
嘉義市世賢路、南京路,23.4613935,120.4365049
嘉義市大聖路、劉厝路,23.4614658,120.4171519
嘉義市大業街176巷35弄巷,23.4616039,120.4514467
嘉義市博愛路、大聖路,23.4616168,120.4222953
嘉義市世賢路、新民路,23.4616172,120.440715
嘉義市世賢路、新民路口,23.4616172,120.440715
嘉義市世賢路、民生南路,23.4618762,120.4440779
嘉義市世賢路、民生南路,23.4618762,120.4440779
嘉義市廣州街、福州二街,23.4622159,120.4342774
嘉義市世賢路、興安街口,23.4624282,120.4486205
嘉義市世賢路、重慶路,23.4625425,120.4309442
嘉義市世賢路、重慶路口,23.4625425,120.4309442
嘉義市大賢路、大富路,23.4625596,120.4152202
嘉義市劉富路、大聖二街,23.4630531,120.4209004
嘉義市大富西街、大富二街,23.4630963,120.4135459
嘉義市世賢路、上海路,23.4633954,120.4300403
嘉義市劉厝路131號代天府廟前,23.4636089,120.4177503
嘉義市自強街84巷45號（太子宮）,23.4636089,120.4177503
嘉義市漢口路、南京路,23.4638441,120.4362569
嘉義市廣州街、福州六街,23.4638606,120.4318646
嘉義市自強街77巷、93巷,23.463886,120.4223497
嘉義市自強街195巷,23.4643349,120.4202453
嘉義市重慶路、漢口路,23.4643568,120.4335164
嘉義市宣信街、立仁街,23.4647978,120.4637651
嘉義市大富西街、自強街,23.4648186,120.4135376
嘉義市自強街、大利街,23.4648543,120.4168078
嘉義市自強街32巷,23.464878,120.4186005
嘉義市劉厝路、自強街,23.464878,120.4186005
嘉義市南京路、重慶路,23.4655063,120.4360577
嘉義市蘭州四街、廣州街,23.4655182,120.4296249
嘉義市重慶路、溫州一街,23.4655848,120.4371724
嘉義市車店街、南京路457巷,23.4656558,120.4345115
嘉義市新民路、重慶路,23.4657811,120.4402569
嘉義市大富路、大仁街,23.4658124,120.4151709
嘉義市漢口路、上海路,23.4659187,120.4322143
嘉義市吳鳳南路、世賢路,23.4660194,120.4547172
嘉義市自強街84巷,23.4660749,120.4216133
嘉義市民生南路、杭州三街,23.4662706,120.445807
嘉義市彌陀路、立仁街,23.4662917,120.467464
嘉義市博愛路榮民醫院,23.466396,120.423203
嘉義市世賢路二段600號前,23.466396,120.423203
嘉義市杭州三街、杭州六街,23.466841,120.4441668
嘉義市世賢路、友忠路,23.4669092,120.4247998
嘉義市大信街、大吉街,23.4669558,120.4182689
嘉義市博愛路、世賢路二段,23.467121,120.4276601
嘉義市興業西路、南京路,23.4675628,120.4358514
嘉義市興業西路、南京路口,23.4675628,120.4358514
嘉義市杭州一街、民生南路口,23.4676364,120.44633
嘉義市博愛路、劉厝社區,23.4676921,120.4188201
嘉義市興業西路地下道,23.4678804,120.4388077
嘉義市興業西路、新民路,23.4679781,120.4399962
嘉義市興業西路、新民路,23.4679781,120.4399962
嘉義市興業西路、新民路口,23.4679781,120.4399962
嘉義市南田路、芳安路,23.4681368,120.457235
嘉義市大利街、大和街,23.4682462,120.4168792
嘉義市仁愛路、興業西路,23.4682522,120.4429646
嘉義市興業西路、仁愛路口,23.4682522,120.4429646
嘉義市友忠路、玉山路口(機車道),23.468351,120.4257066
嘉義市興業西路、上海路,23.4684075,120.4344005
嘉義市芳安路、宣信街,23.4684757,120.4605604
嘉義市興業西路、新榮路,23.4684773,120.4453338
嘉義市民生南路、興業西路,23.468604,120.4466794
嘉義市興業西路、民生南路,23.468604,120.4466794
嘉義市興業西路、民生南路口,23.468604,120.4466794
嘉義市興業西路（經國新城）,23.4687185,120.4450092
嘉義市玉山路、大貴路,23.469103,120.412322
嘉義市興業東路、吳鳳南路,23.4693424,120.454337
嘉義市玉山路、大富路,23.4695829,120.4150724
嘉義市新建街91巷內,23.4699255,120.4368617
嘉義市玉山路、大利街,23.4699837,120.4169571
嘉義市玉山路369巷,23.4701717,120.4178283
嘉義市玉山路、劉厝路,23.4703834,120.4187535
嘉義市永安街39巷,23.470416,120.4463387
嘉義市民生南路、永安街,23.4704948,120.4471996
嘉義市新民路、建成街,23.4707567,120.4398558
嘉義市建成街58巷、新民路848巷,23.4707567,120.4398558
嘉義市國華街、永安街,23.4707888,120.4494227
嘉義市崇文公園旁,23.4709754,120.4520661
嘉義市玉山路、國泰新村,23.471011,120.425168
嘉義市仁愛路227巷45號,23.4710431,120.4415451
嘉義市世賢路二段、玉山路向南,23.4710952,120.421323
嘉義市世賢路二段、玉山路向西,23.4710952,120.421323
嘉義市世賢路、玉山路,23.4711218,120.421888
嘉義市建成街、建成新村,23.4711659,120.440633
嘉義市上海路、平等街口,23.4712071,120.436018
嘉義市老吸街、平等街口,23.4712071,120.436018
嘉義市博愛路二段家樂福,23.4713112,120.4311895
